Text,Language
" 
@ZoltanTV
 @TwitterFrance
  et  
@PoliceNationale
Imagine ce que ressent 
@Sardoche_Lol
 c’est vraiment des malades mentaux ces gens la",French
"@TwitterFrance
 c8",French
" 
@SanaRyuk
 @alirabeh
  et 3 autres personnes
@SanaRyuk
 compte cybercriminel 
@TwitterFrance
 depuis plusieurs années rattaché à un dossier cyberharcèlement/diffamations contre des victimes présumées de viols dans le but d'influencer l'opinion publique et de faire obstruction à la justice
@GDarmanin
 
@zimerayfinelle",French
" 
@SoBusyDear
Il faudrait inventer la possibilité de disliker un tweet. Vous vous en occupez 
@TwitterFrance
 ? Merci",French
" 
@entreplume
 @PaulineLanglo15
  et  
@le_Parisien
En fait c’est un troll de Collard, il critique Zemmour en disant que c’est un facho loin du peuple et puis hop soudainement il change de veste. Coucou Gilbert on t’a reconnu , et je t’ai signalé si 
@TwitterFrance
 pourrait faire son boulot pour une fois",French
" 
@_PetitMouton_
C’est du trolling de base. Fait pour que les gens réagissent. Il faut signaler au cas  où 
@TwitterFrance
 face son boulot et bloquer ces immondices.",French
" 
@yannrayon
  et  
@TwitterFrance
Au contraire il fonctionne très bien, Twitter c'est le tinder de l'engueulade sur internet @
2",French
" 
@yannrayon
  et  
@TwitterFrance
GIF
2",French
" 
@BrigBourguignon
@TwitterFrance
 Il serait de bon ton de censurer tous ces députés, ministres, sénateurs et autres macronistes qui sont ouvertement en campagne pour les prochaines présidentielle. Ils induisent en erreur les votants en diffusant des fakenews. Merci
1",French
" 
@DeBunKerEtoiles
Et 
@TwitterFrance
 @Twitter
 ne propose toujours pas d’option pour signaler les fakenews… 
1
1",French
" 
@cpasHayawayne
@TwitterFrance
 il veut me frapper",French
" 
@pallia_doc
@AssembleeNat
   @publicsenat
Le jour où 
@Twitter
@TwitterFrance
 devra payer une amende proportionnelle à la diffusion de message de fakes, nous verrons moins de ces ""saloperies"" indignes et humiliantes.. 
C'est collectivement une honte pour la science et l'humanité de ce pays!",French
" 
@adbresson
  et  
@TwitterFrance
Oui, ça m'est arrivé à plusieurs reprises. J'ai tenté de contester comme le bot le propose mais cela reste lettre morte.
1",French
" 
@_PetitMouton_
  et  
@Tipuncho
@AssembleeNat
  @publicsenat
 
Le jour où 
@Twitter
  @TwitterFrance
 devra payer une amende proportionnelle à la diffusion de message de fakes, nous verrons moins de ces ""saloperies"" indignes et humiliantes.. 
C'est collectivement une honte pour la science et l'humanité de ce pays!
2",French
" 
@Gekko_Hopman
  et  
@TwitterFrance
ah oui, voilà exactement ce qui m'est arrivé l'autre jour parceque dans un tw de 2013 je disais que précisément moi j'aimais bien les p'tits P*** ! Du coup ce n'est pas un bot mais une personne physique qui joue à ça sans aucun discernement ?
1
1",French
" 
@GwenFauchois
 @Fred_Colby
  et 2 autres personnes
Cher Damien Viel ce twittos aux nombreux comptes est une menace pour les LGBTQ. Quand allez-vous enfin supprimer ses nombreux comptes et le bannir de Twitter ?
2",French
" 
@Fred_Colby
  et  
@PatrickThevenin
. 
@TwitterFrance
 @damienviel
 toujours autant de discernement!
1
3",French
